service_name,device_name,phrase
light.turn_off,main_basement_light,Veuillez éteindre les lumières du sous-sol principal.
light.turn_off,main_basement_light,Veuillez éteindre la lumière principale du sous-sol
light.turn_off,man_cave_light,Veuillez éteindre les lumières de la zone de l'homme.
light.turn_off,man_cave_light,"S'il vous plaît, éteignez les lumières de la grotte."
light.turn_off,man_cave_light,"S'il vous plaît, éteignez la lumière de la grotte de l'homme."
light.turn_off,master_chambre_light,Éteignez les lumières de la chambre principale.
light.turn_off,master_chambre_light,Éteignez les lumières de la chambre principale.
light.turn_off,master_chambre_light,Éteignez les lumières de la chambre principale.
light.turn_off,pool_table_light,Éteignez la lumière de la table de billard
light.turn_off,pool_table_light,Éteignez la lumière de la table de billard
light.turn_off,pool_table_light,Éteignez la lumière de la table de billard s'il vous plaît
light.turn_off,pool_table_light,Éteignez la lumière de la table de billard maintenant
light.turn_off,pool_table_light,Éteignez les lumières de la table de billard
light.turn_off,pool_table_light,Éteignez la lumière dans la table de billard
light.turn_off,pool_table_light,Éteignez la lumière de la table de billard
light.turn_off,pool_table_light,Éteignez la lumière de la table de billard
light.turn_off,pool_table_light,Éteignez la lumière de la table de billard s'il vous plaît
light.turn_off,pool_table_light,Éteignez la lumière de la table de billard maintenant
light.turn_off,pool_table_light,Vous pouvez éteindre la lumière de la table de billard maintenant
light.turn_off,pool_table_light,Éteignez les lumières de la table de billard.
light.turn_off,pool_table_light,"Éteignez la lumière de la table de billard, s'il vous plaît."
light.turn_off,pool_table_light,Éteignez la lumière de la table de billard
light.turn_off,pool_table_light,Éteignez la lumière de la table de billard.
light.turn_off,pool_table_light,Éteignez la lumière de la table de billard
light.turn_off,pool_table_light,Éteignez la lumière dans la table de billard
light.turn_off,pool_table_light,Éteignez la lumière de la table de billard
light.turn_off,lumière_porche,Veuillez éteindre la lumière du porche
light.turn_off,lumière_porche,Éteignez la lumière du porche
light.turn_off,lumière_porche,Éteignez la lumière du porche
light.turn_off,lumière_porche,Désactiver la lumière du porche
light.turn_off,lumière_porche,Éteignez la lumière du porche
light.turn_off,lumière_porche,Allumer la lumière du porche
light.turn_off,lumière_porche,Pouvons-nous éteindre la lumière du porche ?
light.turn_off,lumière_porche,Pouvons-nous éteindre la lumière du porche ?
light.turn_off,lumière_porche,Pouvez-vous éteindre les lumières sur le porche ?
light.turn_off,lumière_porche,Pouvez-vous éteindre la lumière du porche ?
light.turn_off,lumière_porche,Pouvez-vous éteindre la lumière du porche ?
light.turn_off,lumière_porche,Pouvons-nous éteindre les lumières du porche ?
light.turn_off,lumière_porche,Pourriez-vous désactiver la lumière du porche ?
light.turn_off,lumière_porche,Désactiver la lumière du porche
light.turn_off,lumière_porche,Désactivez l’éclairage du porche.
light.turn_off,lumière_porche,Désactiver la lumière du porche
light.turn_off,lumière_porche,Désactiver la lumière sur le porche
light.turn_off,lumière_porche,Désactiver la lumière du porche
light.turn_off,lumière_porche,Désactiver la lumière du porche
light.turn_off,lumière_porche,Désactiver la lumière du porche
light.turn_off,lumière_porche,Éteignez les lumières du porche.
light.turn_off,lumière_porche,Éteignez les lumières du porche.
light.turn_off,lumière_porche,lumière du porche éteinte
light.turn_off,lumière_porche,Éteignez les lumières du porche.
light.turn_off,lumière_porche,Veuillez désactiver la lumière du porche.
light.turn_off,lumière_porche,Veuillez éteindre la lumière du porche
light.turn_off,lumière_porche,Veuillez éteindre les lumières du porche.
light.turn_off,lumière_porche,Veuillez éteindre la lumière du porche
light.turn_off,lumière_porche,Veuillez éteindre les lumières du porche.
light.turn_off,lumière_porche,Veuillez éteindre les lumières du porche.
light.turn_off,lumière_porche,Veuillez éteindre la lumière du porche.
light.turn_off,lumière_porche,Éteignez les lumières du porche.
light.turn_off,lumière_porche,Éteignez les lumières du porche.
light.turn_off,lumière_porche,Éteignez les lumières du porche.
light.turn_off,lumière_porche,Éteignez la lumière du porche
light.turn_off,lumière_porche,Éteignez la lumière du porche
light.turn_off,lumière_porche,Éteignez la lumière du porche s'il vous plaît
light.turn_off,lumière_porche,Éteignez la lumière du porche maintenant
light.turn_off,lumière_porche,Éteignez les lumières du porche
light.turn_off,lumière_porche,Éteignez la lumière dans le porche
light.turn_off,lumière_porche,Éteignez la lumière du porche
light.turn_off,lumière_porche,Éteignez la lumière du porche
light.turn_off,lumière_porche,Éteignez la lumière du porche s'il vous plaît
light.turn_off,lumière_porche,Éteignez la lumière du porche maintenant
light.turn_off,lumière_porche,Tu peux éteindre la lumière du porche maintenant
light.turn_off,lumière_porche,Éteignez les lumières du porche.
light.turn_off,lumière_porche,"Éteignez la lumière du porche, s'il vous plaît."
light.turn_off,lumière_porche,Éteignez la lumière du porche
light.turn_off,lumière_porche,Éteignez la lumière dans le porche.
light.turn_off,lumière_porche,Éteignez la lumière du porche
light.turn_off,lumière_porche,Éteignez la lumière dans le porche
light.turn_off,lumière_porche,Éteignez la lumière du porche
light.turn_off,douche_lumière,Veuillez éteindre la lumière de la douche
light.turn_off,douche_lumière,Éteignez la lumière de la douche
light.turn_off,douche_lumière,Éteignez la lumière de la douche
light.turn_off,douche_lumière,Désactiver la lumière de la douche
light.turn_off,douche_lumière,Éteindre la lumière de la douche
light.turn_off,lumière_escalier,lumière d'escalier éteinte
light.turn_off,lumière_escalier,Désactivez les lumières des escaliers.
light.turn_off,lumière_escalier,Éteindre la lumière de la cage d'escalier
light.turn_off,lumière_escalier,Activer l'éclairage de la cage d'escalier
light.turn_off,lumière_escalier,Pouvons-nous éteindre la lumière de la cage d'escalier ?
light.turn_off,la_lumière_de_toit,Veuillez éteindre le plafonnier
light.turn_off,la_lumière_de_toit,Éteignez le plafonnier
light.turn_off,la_lumière_de_toit,Éteignez le plafonnier
light.turn_off,passerelle_light,Éteignez les lumières du passage.
light.turn_off,passerelle_light,Éteignez la lumière du passage
light.turn_off,passerelle_light,Éteignez la lumière du passage
light.turn_off,bobs_lampe,"S'il te plaît, éteint la lumière de Bob"
light.turn_off,janets_lampe,Éteignez la lumière de Janet
light.turn_off,lampe_ruths,"S'il te plaît, éteint la lampe de Ruth"
light.turn_off,colins_lampe,Éteignez la lampe de Colin
light.turn_off,neenas_lampe,Éteignez la lampe de Neena
light.turn_off,lampe_roberts,Désactiver la lampe de Robert
light.turn_off,lampe_paulus,Éteignez la lampe de Paulus
light.turn_off,lampe_peters,Activer la lampe de Peter
light.turn_off,lampe_angelas,Pouvons-nous éteindre la lampe d'Angela ?
light.turn_off,lampe_entrée,Veuillez éteindre la lampe d'entrée
light.turn_off,lampe_entrée,Éteindre la lampe d'entrée
light.turn_off,lampe_entrée,Veuillez éteindre la lampe de l'entrée
light.turn_off,lampe_entrée,Veuillez éteindre la lampe de l'entrée
light.turn_off,lampe_entrée,Veuillez éteindre les lampes de l’entrée.
light.turn_off,lampe_entrée,Désactiver l'éclairage d'entrée
light.turn_on,bar_light,Allumez la lumière dans mon bar.
light.turn_on,bar_light,Illuminez le bar.
light.turn_on,bar_light,Barre lumineuse allumée
light.turn_on,bar_light,Illuminez le bar.
light.turn_on,salle_à_manger_light,Activer les lumières dans la salle à manger
light.turn_on,salle_à_manger_light,Activez la lumière de la salle à manger s'il vous plaît
light.turn_on,salle_à_manger_light,Allumez les lumières de la salle à manger.
light.turn_on,lumière_de_devant,Activez la lumière avant s'il vous plaît
light.turn_on,lumière_de_devant,Veuillez activer la lumière avant
light.turn_on,lumière_de_devant,Activez la lumière avant maintenant
light.turn_on,gym_light,Allumez la lumière de la salle de sport s'il vous plaît
light.turn_on,gym_light,Allumez la lumière de la salle de sport
light.turn_on,gym_light,lumière de la salle de sport allumée
light.turn_on,île_lumière,Allumez la lumière de l'îlot
light.turn_on,île_lumière,lumière de l'îlot allumée
light.turn_on,île_lumière,Allumez la lumière de l’îlot
light.turn_on,cuisine_light,lumière de la cuisine allumée
light.turn_on,cuisine_light,Allumez la lumière de la cuisine
light.turn_on,cuisine_light,"Hé, peux-tu allumer la lumière de la cuisine"
light.turn_on,salon_room_light,Allumez les lumières du salon.
light.turn_on,salon_room_light,Allumez les lumières du salon s'il vous plaît.
light.turn_on,salon_room_light,Veuillez allumer les lumières du salon.
light.turn_on,salon_room_light,Allumez l’éclairage du salon.
light.turn_on,main_basement_light,Allumez la lumière principale du sous-sol
light.turn_on,main_basement_light,Allumez la lumière principale du sous-sol
light.turn_on,man_cave_light,Activez la lumière de la grotte de l'homme des cavernes.
light.turn_on,man_cave_light,Activez les lumières dans la grotte de l'homme
light.turn_on,man_cave_light,Pourriez-vous éclairer la grotte des hommes ?
light.turn_on,man_cave_light,Activer la lumière de l'homme des cavernes
light.turn_on,master_chambre_light,Pourriez-vous éclairer la chambre principale
light.turn_on,pool_table_bar_light,Lumière du bar de la table de billard allumée
light.turn_on,pool_table_bar_light,Allumez la lumière du bar de la table de billard
light.turn_on,pool_table_bar_light,Pouvez-vous allumer la lumière du bar de la table de billard ?
light.turn_on,pool_table_light,Activez la lumière de la table de billard s'il vous plaît
light.turn_on,lumière_porche,Allumez la lumière du porche
light.turn_on,lumière_porche,Pouvez-vous allumer la lumière du porche ?
light.turn_on,lumière_porche,"Pourriez-vous allumer la lumière du porche, s'il vous plaît ?"
light.turn_on,douche_lumière,Allumez la lumière de la douche
light.turn_on,douche_lumière,Allumer la lumière de la douche
light.turn_on,douche_lumière,Activer la lumière de la douche
light.turn_on,douche_lumière,Pourriez-vous éclairer la douche s'il vous plaît ?
light.turn_on,douche_lumière,Allumez les lumières à la douche
light.turn_on,douche_lumière,Allumez la douche s'il vous plaît
light.turn_on,douche_lumière,Allumez la lumière de la douche s'il vous plaît
light.turn_on,douche_lumière,Allumez la lumière de la douche
light.turn_on,douche_lumière,lumière de douche allumée
light.turn_on,lumière_escalier,Activez la lumière des escaliers s'il vous plaît
light.turn_on,lumière_escalier,Veuillez activer la lumière des escaliers
light.turn_on,lumière_escalier,Pouvez-vous éclairer la cage d'escalier s'il vous plaît ?
light.turn_on,lumière_escalier,Veuillez activer la lumière de la cage d'escalier
light.turn_on,lumière_escalier,Veuillez allumer la lumière de la cage d'escalier
light.turn_on,la_lumière_de_toit,Veuillez allumer le plafonnier.
light.turn_on,la_lumière_de_toit,Allumez le plafonnier s'il vous plaît
light.turn_on,la_lumière_de_toit,Pouvez-vous allumer la lumière sur le toit ?
light.turn_on,passerelle_light,Veuillez activer la lumière du passage
light.turn_on,passerelle_light,Veuillez allumer la lumière de la zone de passage
light.turn_on,passerelle_light,Allumez l’éclairage de la passerelle.
light.turn_on,lampe_freds,Allume la lumière de Fred
light.turn_on,colins_lampe,Allume la lumière de Colin
light.turn_on,lampe_roberts,Activer la lumière de Robert
light.turn_on,pierres_lampe,Allume la lumière de Pierre s'il te plaît
light.turn_on,jennifers_lampe,Allume la lumière de Jenn
light.turn_on,julias_lampe,La lumière de Julia est allumée
light.turn_on,neenas_lampe,Allumez la lumière de Neena
light.turn_on,lampe_patricks,Peux-tu allumer la lumière de Patrick ?
light.turn_on,lampe_sams,Allumez celui de Sam.
light.turn_on,lampe_johns,Illuminez la lumière de John.
light.turn_on,lampe_jordan,Engagez l'éclairage de Jordan.
light.turn_on,lebrons_lampe,Allumez les lumières de Lebron.
light.turn_on,angies_lampe,Peux-tu allumer la lampe d'Angie ?
light.turn_on,louis_lampe,Pourrais-tu allumer la lampe de Louis s'il te plaît ?
light.turn_on,lampe_katniss,Pourriez-vous activer la lampe de Katniss
light.turn_on,lampe_waynes,Activer la lampe de Wayne
light.turn_on,samuels_lampe,Activez la lampe de Samuel s'il vous plaît
light.turn_on,lampe_entrée,Allumer la lampe d'entrée
light.turn_on,lampe_entrée,Veuillez activer la lampe d'entrée
light.turn_on,lampe_entrée,Veuillez allumer la lampe de l'entrée
light.turn_on,lampe_entrée,Allumer la lumière de l'entrée
light.turn_on,lampe_entrée,Allumez l’éclairage de l’entrée.
